timestamp,message
1714073868279,"REPORT RequestId: 221d8a86-f9c6-40da-a0aa-1f398c6508d8	Duration: 1.77 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 35 MB	
"
1714073924302,"START RequestId: dfd8bc7e-4a03-4a4f-aec9-c80bbf2c63f6 Version: $LATEST
"
1714073924303,"{'inputMode': 'Text', 'sessionId': '035527339877923', 'inputTranscript': 'bacon', 'interpretations': [{'interpretationSource': 'Lex', 'nluConfidence': 1.0, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': {'shape': 'Scalar', 'value': {'originalValue': 'bacon', 'resolvedValues': ['bacon'], 'interpretedValue': 'bacon'}}}, 'state': 'InProgress', 'confirmationState': 'None'}}, {'interpretationSource': 'Lex', 'intent': {'name': 'FallbackIntent', 'slots': {}, 'state': 'InProgress', 'confirmationState': 'None'}}], 'bot': {'name': 'Mybot', 'version': 'DRAFT', 'localeId': 'en_US', 'id': 'OC2JM2BVQB', 'aliasId': 'TSTALIASID', 'aliasName': 'TestBotAlias'}, 'responseContentType': 'text/plain; charset=utf-8', 'sessionState': {'originatingRequestId': 'b55c73c6-e1a4-4fb4-a2d4-d9da1aaa81d6', 'sessionAttributes': {}, 'activeContexts': [], 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': {'shape': 'Scalar', 'value': {'originalValue': 'bacon', 'resolvedValues': ['bacon'], 'interpretedValue': 'bacon'}}}, 'state': 'InProgress', 'confirmationState': 'None'}}, 'transcriptions': [{'resolvedContext': {'intent': 'BurgerBee'}, 'resolvedSlots': {'BurgerType': {'shape': 'Scalar', 'value': {'originalValue': 'bacon', 'resolvedValues': ['bacon']}}}, 'transcriptionConfidence': 1.0, 'transcription': 'bacon'}], 'messageVersion': '1.0', 'invocationSource': 'DialogCodeHook'}
"
1714073924303,"{'sessionState': {'dialogAction': {'type': 'Delegate'}, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': {'shape': 'Scalar', 'value': {'originalValue': 'bacon', 'resolvedValues': ['bacon'], 'interpretedValue': 'bacon'}}}}}}
"
1714073924304,"END RequestId: dfd8bc7e-4a03-4a4f-aec9-c80bbf2c63f6
"
1714073924304,"REPORT RequestId: dfd8bc7e-4a03-4a4f-aec9-c80bbf2c63f6	Duration: 1.84 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 35 MB	
"
1714073929034,"START RequestId: 3fe8dc77-7c1d-4162-994a-0de3f92e0acf Version: $LATEST
"
1714073929034,"{'inputMode': 'Text', 'sessionId': '035527339877923', 'inputTranscript': 'yes', 'interpretations': [{'interpretationSource': 'Lex', 'nluConfidence': 1.0, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': {'shape': 'Scalar', 'value': {'originalValue': 'bacon', 'resolvedValues': ['bacon'], 'interpretedValue': 'bacon'}}}, 'state': 'InProgress', 'confirmationState': 'Confirmed'}}, {'interpretationSource': 'Lex', 'intent': {'name': 'FallbackIntent', 'slots': {}, 'state': 'InProgress', 'confirmationState': 'None'}}], 'bot': {'name': 'Mybot', 'version': 'DRAFT', 'localeId': 'en_US', 'id': 'OC2JM2BVQB', 'aliasId': 'TSTALIASID', 'aliasName': 'TestBotAlias'}, 'responseContentType': 'text/plain; charset=utf-8', 'sessionState': {'originatingRequestId': 'b55c73c6-e1a4-4fb4-a2d4-d9da1aaa81d6', 'sessionAttributes': {}, 'activeContexts': [], 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': {'shape': 'Scalar', 'value': {'originalValue': 'bacon', 'resolvedValues': ['bacon'], 'interpretedValue': 'bacon'}}}, 'state': 'InProgress', 'confirmationState': 'Confirmed'}}, 'transcriptions': [{'resolvedContext': {'intent': 'BurgerBee'}, 'resolvedSlots': {}, 'transcriptionConfidence': 1.0, 'transcription': 'yes'}], 'messageVersion': '1.0', 'invocationSource': 'DialogCodeHook'}
"
1714073929034,"{'sessionState': {'dialogAction': {'type': 'Delegate'}, 'intent': {'name': 'BurgerBee', 'slots': {'BurgerSize': {'shape': 'Scalar', 'value': {'originalValue': 'double', 'resolvedValues': ['Double'], 'interpretedValue': 'double'}}, 'BurgerFranchise': {'shape': 'Scalar', 'value': {'originalValue': 'burger king', 'resolvedValues': ['burger king'], 'interpretedValue': 'burger king'}}, 'BurgerType': {'shape': 'Scalar', 'value': {'originalValue': 'bacon', 'resolvedValues': ['bacon'], 'interpretedValue': 'bacon'}}}}}}
"
1714073929035,"END RequestId: 3fe8dc77-7c1d-4162-994a-0de3f92e0acf
"
1714073929035,"REPORT RequestId: 3fe8dc77-7c1d-4162-994a-0de3f92e0acf	Duration: 1.53 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 35 MB	
"
1714073929053,"START RequestId: da2d025b-078d-416e-903b-4edc7ed83315 Version: $LATEST
"
